±¤Á¾,Ç°¸ñ,´ë·ú,±¹°¡,´ÜÀ§,2011 »ý»ê·®,2012 »ý»ê·®,2013 »ý»ê·®,2014 »ý»ê·®,2015 »ý»ê·®,2016 »ý»ê·®,2017 »ý»ê·®,2018 »ý»ê·®,2019 »ý»ê·®,2020 »ý»ê·®,2021 »ý»ê·®,2022 »ý»ê·®
Àº,mine,ASIA,Indonesia,kg,227.173,247.827,123.109,119.189,151.934,185.234,328.044,335.491,484.9,338.1,335.9,335.9
Àº,mine,ASIA,Japan,kg,4.486,3.577,3.644,3.541,4.616,5.076,3.408,3.596,3.492,4.2,3.292,3.501
Àº,mine,ASIA,Kazakhstan,kg,650.649,963.137,963.58,981.882,1305.326,1180.458,1028.501,968.941,1022.126,1015.756,1004.8,1012.269
Àº,mine,ASIA,Laos,kg,17.976,20.895,33.348,35.159,49.9,52.122,45.642,37.463,34.4,30,26.8,22.921
Àº,mine,ASIA,Malaysia,kg,0.46,1.547,0.362,0.315,0.9,1.1,1.405,1.5,0.7,0.4,0.7,0.698
Àº,mine,ASIA,Mongolia,kg,19.11,19.1,44.168,51.451,49,79.5,67.2,64.8,69.4,66,48.5,27.12
Àº,mine,ASIA,North Korea,kg,50,50,50,50,50,50,50,50,50,50,50.4,50.4
Àº,mine,ASIA,Philippines,kg,45.53,49.211,40.043,23.005,29.78,35.186,31.748,29.782,31.3,24.024,30.856,56.71
Àº,mine,ASIA,Saudi Arabia,kg,7.5,5.5,4.2,4.9,4.5,4.71,5.07,5.3,5.6,6,6.8,7
Àº,mine,ASIA,South Korea,kg,2.197,1.85,1.75,2,4.6,6.579,8.788,7.09,5.245,7.185,10,2.126
Àº,mine,ASIA,Tajikistan,kg,1.8,1.8,1.8,1.745,2.7,3.2,6.6,9.5,11.1,11.4,11.1,10.9
Àº,mine,ASIA,Thailand,kg,19.453,31.997,32.794,30.568,27.638,35.896,0,0,0,0,0,0
Àº,mine,ASIA,Turkey,kg,246.5,193.89,189.6,183.9,190.55,376.64,151.49,197.32,242,98.3,163,162.5
Àº,mine,ASIA,Uzbekistan,kg,59.1,60,60,60,200,230,232.3,223.9,260,237.6,211.5,211.5
Àº,mine,ASIA,Other Asia,kg,41.976,39.84,28.985,24.544,23.604,23.604,23.604,23.604,23.604,23.604,23.604,23.604
Àº,mine,AMERICA,Argentina,kg,640.7,749.6,768.24,905.1,928.5,933.123,998,1023.8,1039.8,712.3,824.2,541.504
Àº,mine,AMERICA,Bolivia,kg,1214,1207.158,1287.2,1345.2,1306,1353,1196.416,1191.024,1152.628,1153.1,1289.456,1203.192
Àº,mine,AMERICA,Brazil,kg,15.238,20.145,22.427,25.381,44.1,48.8,46.4,49.6,50,50.2,80.9,80.6
Àº,mine,AMERICA,Canada,kg,661.088,685.254,640.362,495.403,383.807,385.1,392.788,403.589,419.218,289.8,325.02,270.493
Àº,mine,AMERICA,Chile,kg,1291.272,1194.521,1173.845,1571.8,1504.271,1501.436,1318.582,1370.237,1309.321,1575.794,1383.041,1151.692
Àº,mine,AMERICA,Colombia,kg,24.045,19.45,14.05,11.69,11.6,11.87,12.07,16.7,12.7,19.021,26.963,26.956
Àº,mine,AMERICA,Dominican Republic,kg,18.554,23.266,80.439,135.108,99.8,121.578,148.389,169.809,108.695,88.283,78.816,71.874
Àº,mine,AMERICA,Guatemala,kg,273.061,204.682,283.856,857.499,803.489,837.819,309.914,0,0,0,0.7,0.698
Àº,mine,AMERICA,Honduras,kg,48.4,50.605,50.917,56.827,34.3,17.636,21.607,31.151,43.579,45,36.7,36.698
Àº,mine,AMERICA,Mexico,kg,4777.71,5358.195,5820.991,5766.664,5974.821,5408.521,5394.479,6049,5840.011,5540.888,6097.531,6174.786
Àº,mine,AMERICA,Nicaragua,kg,7.989,10.191,13.746,13.56,18,21.204,15.419,11.263,17.362,24.481,21.46,20.4
Àº,mine,AMERICA,Peru,kg,3414.009,3480.641,3674.283,3777.384,4102.11,4375.813,4418.041,4160.2,3860.3,2771.825,3309.647,3079.789
Àº,mine,AMERICA,U.S.A.,kg,1120,1060,1050.4,1180,1090,1150,1026.4,924.7,971,985.7,1010,998.2
Àº,mine,AMERICA,Other America,kg,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Àº,mine,OCEANIA,Australia,kg,1725,1728,1840.246,1848,1430.3,1418.2,1120,1254.3,1325,1337,1329.718,1090.737
Àº,mine,OCEANIA,Fiji,kg,0.417,0.342,0.462,0.361,0.354,0.354,0.35,0.413,0.692,0.5,0.622,0.411
Àº,mine,OCEANIA,New Zealand,kg,14.324,5.63,11.223,15.812,12.498,7.96,8.02,6.332,4.06,1.393,1.393,1392
Àº,mine,OCEANIA,Papua New Guinea,kg,93.31,81.3,90.192,84.3,71.6,100,66,93,147,130,90.2,90.1
Àº,mine,OCEANIA,Other Oceania,kg,0.592,0.902,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
ÁÖ¼®,mine,EUROPE,Portugal,ÃµÅæ,0.04,0.042,0.084,0.075,0.042,0.054,0.079,0.109,0.105,0.101,0.108,0.108
ÁÖ¼®,mine,EUROPE,Russia,ÃµÅæ,0.075,0.245,0.25,0.321,0.578,0.627,1.011,1.531,0.147,0.27,0.296,0.112
ÁÖ¼®,mine,EUROPE,Spain,ÃµÅæ,0,0,0,0,0,0.007,0.023,0.032,2.264,2.538,2.92,2.9
ÁÖ¼®,mine,EUROPE,United Kingdom,ÃµÅæ,0,0,0,0,0,0.16,0.255,0.23,0,0,0,0
ÁÖ¼®,mine,AFRICA,Burundi,ÃµÅæ,0,0,0,0,0.054,0.051,0.123,0.126,0.143,0.106,0.127,0.093
ÁÖ¼®,mine,AFRICA,Democratic Republic Congo,ÃµÅæ,3.008,10.39,3.427,4.094,4.385,6.504,10.231,8.952,12.531,13.526,10.969,12.493
ÁÖ¼®,mine,AFRICA,Egypt,ÃµÅæ,0,0.006,0.087,0.012,0,0,0,0,0,0,0,0
ÁÖ¼®,mine,AFRICA,Namibia,ÃµÅæ,,0,0,0,0,0,0,0,0.009,0.242,0.47,0.575
ÁÖ¼®,mine,AFRICA,Nigeria,ÃµÅæ,1.8,2.4,2.59,2.485,2.364,3.443,8.626,7.853,7.02,5.974,6.949,8.256
